NumeroVol,Origine,Destination,ClasseReservation,Net,Taxe
KL1771,AMS,BER,T,166.00,171.47
KL1771,AMS,BER,T,226.00,158.77
KL1771,AMS,BER,T,226.00,171.47
KL1771,AMS,BER,U,604.00,158.77
KL1771,AMS,BER,U,604.00,171.47
KL1771,AMS,BER,U,664.00,158.77
KL1771,AMS,BER,U,664.00,171.47
KL1771,AMS,BER,V,308.00,158.77
KL1771,AMS,BER,V,308.00,171.47
KL1771,AMS,BER,V,368.00,158.77
KL1771,AMS,BER,V,368.00,171.47
KL1771,AMS,BER,W,241.00,158.77
KL1771,AMS,BER,W,241.00,171.47
KL1771,AMS,BER,W,301.00,158.77
KL1771,AMS,BER,W,301.00,171.47
KL1771,AMS,BER,Y,1209.00,158.77
KL1771,AMS,BER,Y,1209.00,171.47
KL1771,AMS,BER,Y,1269.00,158.77
KL1771,AMS,BER,Y,1269.00,171.47
KL1771,AMS,BER,Z,648.00,158.77
KL1771,AMS,BER,Z,648.00,171.47
KL1771,AMS,BER,A,217.00,136.19
KL1771,AMS,BER,A,217.00,148.89
KL1771,AMS,BER,B,310.00,136.19
KL1771,AMS,BER,B,310.00,148.89
KL1771,AMS,BER,E,612.00,136.19
KL1771,AMS,BER,E,612.00,148.89
KL1771,AMS,BER,E,646.00,136.19
KL1771,AMS,BER,E,646.00,148.89
KL1771,AMS,BER,H,397.00,136.19
KL1771,AMS,BER,H,397.00,148.89
KL1771,AMS,BER,H,431.00,136.19
KL1771,AMS,BER,H,431.00,148.89
KL1771,AMS,BER,K,106.00,136.19
KL1771,AMS,BER,K,106.00,148.89
KL1771,AMS,BER,K,131.00,136.19
KL1771,AMS,BER,K,131.00,148.89
KL1771,AMS,BER,L,63.00,136.19
KL1771,AMS,BER,L,63.00,148.89
KL1771,AMS,BER,M,504.00,136.19
KL1771,AMS,BER,M,504.00,148.89
KL1771,AMS,BER,M,537.00,136.19
KL1771,AMS,BER,M,537.00,148.89
KL1771,AMS,BER,N,98.00,136.19
KL1771,AMS,BER,N,98.00,148.89
KL1771,AMS,BER,O,30.00,136.19
KL1771,AMS,BER,O,30.00,148.89
KL1771,AMS,BER,P,264.00,136.19
KL1771,AMS,BER,P,264.00,148.89
KL1771,AMS,BER,Q,307.00,136.19
KL1771,AMS,BER,Q,307.00,148.89
KL1771,AMS,BER,Q,340.00,136.19
KL1771,AMS,BER,Q,340.00,148.89
KL1771,AMS,BER,R,141.00,136.19
KL1771,AMS,BER,R,141.00,148.89
KL1771,AMS,BER,R,166.00,136.19
KL1771,AMS,BER,R,166.00,148.89
KL1771,AMS,BER,T,43.00,136.19
KL1771,AMS,BER,T,43.00,148.89
KL1771,AMS,BER,U,156.00,136.19
KL1771,AMS,BER,U,156.00,148.89
KL1771,AMS,BER,U,182.00,136.19
KL1771,AMS,BER,U,182.00,148.89
KL1771,AMS,BER,W,257.00,136.19
KL1771,AMS,BER,W,257.00,148.89
KL1771,AMS,BER,W,290.00,136.19
KL1771,AMS,BER,W,290.00,148.89
KL1771,AMS,BER,C,896.00,136.19
KL1771,AMS,BER,C,896.00,148.89
KL1771,AMS,BER,D,763.00,136.19
KL1771,AMS,BER,D,763.00,148.89
KL1771,AMS,BER,J,547.00,136.19
KL1771,AMS,BER,J,547.00,148.89
KL1771,AMS,BER,L,88.00,136.19
KL1771,AMS,BER,L,88.00,148.89
KL1771,AMS,BER,N,124.00,136.19
KL1771,AMS,BER,N,124.00,148.89
